Rk,Wk,Winner,WPts,,Loser,LPts
259,5,(10) Baylor,0,@,Iowa State,0
260,5,Boston College,0,@,Florida State,0
261,5,Bowling Green,0,@,Mississippi State,0
262,5,Buffalo,0,@,Eastern Michigan,0
263,5,Central Michigan,0,@,Penn State,0
264,5,Charlotte,0,@,South Carolina,0
265,5,(4) Clemson,0,@,(22) Wake Forest,0
266,5,Connecticut,0,@,(13) North Carolina State,0
267,5,Duke,0,@,Kansas,0
268,5,Florida,0,@,Tennessee,0
269,5,Florida Atlantic,0,@,Purdue,0
270,5,Florida International,0,@,Western Kentucky,0
271,5,Fordham,0,@,Ohio,0
272,5,Georgia Tech,0,@,Central Florida,0
273,5,Hawaii,0,@,New Mexico State,0
274,5,Houston Baptist,0,@,Texas State,0
275,5,Indiana,0,@,(23) Cincinnati,0
276,5,Iowa,0,@,Rutgers,0
277,5,James Madison,0,@,Appalachian State,0
278,5,Kansas State,0,@,(9) Oklahoma,0
279,5,Kent State,0,@,(3) Georgia,0
280,5,Louisiana,0,@,Louisiana-Monroe,0
281,5,Louisiana Tech,0,@,South Alabama,0
282,5,Marshall,0,@,Troy,0
283,5,Maryland,0,@,(8) Michigan,0
284,5,Massachusetts,0,@,Temple,0
285,5,Miami (OH),0,@,Northwestern,0
286,5,Middle Tennessee State,0,@,(16) Miami (FL),0
287,5,Minnesota,0,@,(15) Michigan State,0
288,5,Missouri,0,@,Auburn,0
289,5,Navy,0,@,East Carolina,0
290,5,Nevada-Las Vegas,0,@,Utah State,0
291,5,New Mexico,0,@,Louisiana State,0
292,5,North Texas,0,@,Memphis,0
293,5,Northern Illinois,0,@,(20) Kentucky,0
294,5,(5) Notre Dame,0,@,North Carolina,0
295,5,(11) Oregon,0,@,Washington State,0
296,5,Rhode Island,0,@,(17) Pittsburgh,0
297,5,Rice,0,@,(24) Houston,0
298,5,Sacramento State,0,@,Colorado State,0
299,5,South Florida,0,@,Louisville,0
300,5,(14) Southern California,0,@,Oregon State,0
301,5,Southern Mississippi,0,@,Tulane,0
302,5,Stanford,0,@,Washington,0
303,5,Texas,0,@,Texas Tech,0
304,5,(6) Texas A&M,0,N,(19) Arkansas,0
