Rk,Wk,Winner,WPts,Loc,Loser,LPts
207,4,(14) Iowa State,24,@,Arkansas State,16
208,4,Kennesaw State,27,,Merrimack,13
209,4,Kentucky,48,,Eastern Michigan,23
210,4,(3) Louisiana State,20,,Florida,10
211,4,Louisiana Tech,49,,New Mexico State,14
212,4,Marshall,38,,Eastern Kentucky,7
213,4,Maryland,44,,Towson,17
214,4,Memphis,28,@,Troy,7
215,4,(5) Miami (FL),49,,(18) South Florida,12
216,4,(23) Michigan,63,,Central Michigan,3
217,4,Michigan State,41,,Youngstown State,24
218,4,Middle Tennessee State,14,@,Nevada,13
219,4,(17) Mississippi,41,,Arkansas,35
220,4,Mississippi State,63,,Alcorn State,0
221,4,(25) Missouri,52,,Louisiana,10
222,4,Navy,42,@,Tulsa,23
223,4,Nebraska,59,,Houston Baptist,7
224,4,North Carolina,41,,Richmond,6
225,4,North Texas,59,,Washington State,10
226,4,(1) Ohio State,37,,Ohio,9
227,4,(13) Oklahoma,42,@,Temple,3
228,4,Old Dominion,45,@,Virginia Tech,26
229,4,(4) Oregon,34,@,Northwestern,14
230,4,(2) Penn State,52,,Villanova,6
231,4,Rice,38,,Prairie View A&M,17
232,4,Rutgers,60,,Norfolk State,10
233,4,Southern California,33,@,Purdue,17
234,4,Southern Methodist,28,@,Missouri State,10
235,4,Southern Mississippi,38,,Appalachian State,22
236,4,Stanford,30,,Boston College,20
237,4,(7) Texas,27,,Texas-El Paso,10
238,4,(16) Texas A&M,41,@,(8) Notre Dame,40
239,4,Texas Christian,42,,Abilene Christian,21
240,4,(21) Texas Tech,45,,Oregon State,14
241,4,Texas-San Antonio,48,,Incarnate Word,20
242,4,Toledo,60,,Morgan State,0
243,4,Tulane,34,,Duke,27
244,4,(20) Utah,31,@,Wyoming,6
245,4,Utah State,49,,Air Force,30
246,4,Vanderbilt,31,@,(11) South Carolina,7
247,4,Virginia,55,,William & Mary,16
248,4,West Virginia,31,,Pittsburgh,24
249,4,Hawaii,23,,Portland State,3
250,5,Rice,28,@,Charlotte,17
251,5,Iowa,38,@,Rutgers,28
252,5,Tulsa,19,@,Oklahoma State,12
253,5,Akron,51,,Duquesne,7
254,5,Arizona State,27,@,Baylor,24
255,5,Boise State,49,@,Air Force,37
256,5,Brigham Young,34,@,East Carolina,13
257,5,Central Florida,34,,North Carolina,9
258,5,Central Michigan,49,,Wagner,10
259,5,Coastal Carolina,38,@,South Alabama,20
260,5,Colorado,37,,Wyoming,20
261,5,Connecticut,31,,Ball State,25
262,5,Delaware,38,@,Florida International,16
263,5,Duke,45,,North Carolina State,33
264,5,Eastern Michigan,34,,Louisiana,31
265,5,(7) Florida State,66,,Kent State,10
266,5,Georgia Southern,45,,Maine,17
267,5,(18) Georgia Tech,45,,Temple,24
268,5,(19) Indiana,63,,(9) Illinois,10
269,5,Jacksonville State,45,,Murray State,10
270,5,James Madison,31,@,Liberty,13
271,5,Kansas,41,,West Virginia,10
272,5,Kennesaw State,28,,Arkansas State,21
273,5,(3) Louisiana State,56,,Southeastern Louisiana,10
274,5,Louisiana Tech,30,,Southern Mississippi,20
275,5,Louisiana-Monroe,31,@,Texas-El Paso,25
276,5,Louisville,40,,Bowling Green,17
277,5,Marshall,42,@,Middle Tennessee State,28
278,5,Maryland,27,@,Wisconsin,10
279,5,Memphis,32,,Arkansas,31
280,5,(4) Miami (FL),26,,Florida,7
281,5,(21) Michigan,30,@,Nebraska,27
282,5,(13) Mississippi,45,,Tulane,10
283,5,Mississippi State,38,,Northern Illinois,10
284,5,(23) Missouri,29,,South Carolina,20
285,5,Missouri State,42,,Tennessee-Martin,10
286,5,Nevada-Las Vegas,41,@,Miami (OH),38
287,5,North Texas,45,@,Army,38
288,5,(24) Notre Dame,56,,Purdue,30
289,5,Ohio,52,,Gardner-Webb,35
290,5,(11) Oklahoma,24,,(22) Auburn,17
291,5,(6) Oregon,41,,Oregon State,7
292,5,San Diego State,34,,California,0
293,5,San Jose State,31,,Idaho,28
294,5,South Florida,63,,South Carolina State,14
295,5,(25) Southern California,45,,Michigan State,31
296,5,Syracuse,34,@,Clemson,21
297,5,(15) Tennessee,56,,Alabama-Birmingham,24
298,5,(8) Texas,55,,Sam Houston,0
299,5,Texas Christian,35,,Southern Methodist,24
300,5,Texas State,35,,Nicholls State,3
301,5,(17) Texas Tech,34,@,(16) Utah,10
302,5,Texas-San Antonio,17,@,Colorado State,16
303,5,Troy,21,@,Buffalo,17
304,5,Utah State,48,,McNeese State,7
305,5,(20) Vanderbilt,70,,Georgia State,21
306,5,Virginia,48,,Stanford,20
307,5,Virginia Tech,38,,Wofford,6
308,5,Washington,59,@,Washington State,24
309,5,Western Kentucky,31,,Nevada,16
310,5,Western Michigan,14,,Toledo,13
311,5,Fresno State,23,@,Hawaii,21
312,6,East Carolina,28,,Army,6
313,6,Arizona State,27,,(24) Texas Christian,24
314,6,Houston,27,@,Oregon State,24
315,6,Virginia,46,,(8) Florida State,38
316,6,(17) Alabama,24,@,(5) Georgia,21
317,6,Baylor,45,@,Oklahoma State,27
318,6,Boise State,47,,Appalachian State,14
319,6,(25) Brigham Young,24,@,Colorado,21
320,6,California,28,@,Boston College,24
321,6,Central Michigan,24,,Eastern Michigan,13
322,6,Cincinnati,37,@,Kansas,34
323,6,Connecticut,20,@,Buffalo,17
324,6,Duke,38,@,Syracuse,3
325,6,(16) Georgia Tech,30,@,Wake Forest,29
326,6,Hawaii,44,@,Air Force,35
327,6,(23) Illinois,34,,(21) Southern California,32
328,6,(11) Indiana,20,@,Iowa,15
329,6,(14) Iowa State,39,,Arizona,14
330,6,James Madison,35,,Georgia Southern,10
331,6,Kansas State,34,,Central Florida,20
332,6,Kennesaw State,24,,Middle Tennessee State,16
333,6,Louisiana,54,,Marshall,51
334,6,Louisiana Tech,30,@,Texas-El Paso,11
335,6,Louisiana-Monroe,28,,Arkansas State,16
336,6,Louisville,34,@,Pittsburgh,27
337,6,Memphis,55,@,Florida Atlantic,26
338,6,Miami (OH),38,,Lindenwood,0
339,6,Minnesota,31,,Rutgers,28
340,6,(13) Mississippi,24,,(4) Louisiana State,19
341,6,(20) Missouri,42,,Massachusetts,6
342,6,Navy,21,,Rice,13
343,6,New Mexico,38,,New Mexico State,20
344,6,North Texas,36,,South Alabama,22
345,6,Northwestern,17,,UCLA,14
346,6,(22) Notre Dame,56,@,Arkansas,13
347,6,Ohio,35,,Bowling Green,20
348,6,(1) Ohio State,24,@,Washington,6
349,6,Old Dominion,21,,Liberty,7
350,6,(6) Oregon,30,@,(3) Penn State,24
351,6,San Diego State,6,@,Northern Illinois,3
352,6,South Carolina,35,,Kentucky,13
353,6,Southern Mississippi,42,,Jacksonville State,25
354,6,Stanford,30,,San Jose State,29
355,6,(15) Tennessee,41,@,Mississippi State,34
356,6,(9) Texas A&M,16,,Auburn,10
357,6,Toledo,45,,Akron,3
358,6,Tulane,31,@,Tulsa,14
359,6,Utah,48,@,West Virginia,14
360,6,(18) Vanderbilt,55,,Utah State,35
361,6,Virginia Tech,23,@,North Carolina State,21
362,6,Washington State,20,@,Colorado State,3
363,6,Western Kentucky,27,@,Missouri State,22
364,6,Western Michigan,47,,Rhode Island,14
365,7,New Mexico State,37,,Sam Houston,10
366,7,(23) Brigham Young,38,,West Virginia,24
367,7,San Diego State,45,,Colorado State,24
368,7,San Jose State,35,,New Mexico,28
369,7,South Florida,54,,Charlotte,26
370,7,Western Kentucky,27,@,Delaware,24
371,7,Akron,28,,Central Michigan,22
372,7,(10) Alabama,30,,(16) Vanderbilt,14
373,7,Appalachian State,27,,Oregon State,23
374,7,Arizona,41,,Oklahoma State,13
375,7,Arkansas State,31,,Texas State,30
376,7,Army,31,@,Alabama-Birmingham,13
377,7,Ball State,20,,Ohio,14
378,7,Baylor,35,,Kansas State,34
379,7,Buffalo,31,,Eastern Michigan,30
380,7,Cincinnati,38,,(14) Iowa State,30
381,7,Clemson,38,@,North Carolina,10
382,7,Connecticut,51,,Florida International,10
383,7,Duke,45,@,California,21
384,7,Florida,29,,(9) Texas,21
385,7,Florida Atlantic,27,@,Rice,21
386,7,Fresno State,20,,Nevada,17
387,7,(12) Georgia,35,,Kentucky,14
388,7,(22) Illinois,43,@,Purdue,27
389,7,James Madison,14,@,Georgia State,7
390,7,Kansas,27,@,Central Florida,20
391,7,Memphis,45,,Tulsa,7
392,7,(3) Miami (FL),28,@,(18) Florida State,22
393,7,Miami (OH),25,@,Northern Illinois,14
394,7,(20) Michigan,24,,Wisconsin,10
395,7,Navy,34,,Air Force,31
396,7,Nebraska,38,,Michigan State,27
397,7,Nevada-Las Vegas,31,@,Wyoming,17
398,7,North Carolina State,56,,Campbell,10
399,7,Northwestern,42,,Louisiana-Monroe,7
400,7,(21) Notre Dame,28,,Boise State,7
401,7,(1) Ohio State,42,,Minnesota,3
402,7,(5) Oklahoma,44,,Kent State,0
403,7,Old Dominion,47,,Coastal Carolina,7
404,7,Pittsburgh,48,,Boston College,7
405,7,Southern Methodist,31,,Syracuse,18
406,7,Temple,27,,Texas-San Antonio,21
407,7,(6) Texas A&M,31,,Mississippi State,9
408,7,Texas Christian,35,,Colorado,21
409,7,(11) Texas Tech,35,@,Houston,11
410,7,Troy,31,,South Alabama,24
411,7,UCLA,42,,(7) Penn State,37
412,7,(24) Virginia,30,@,Louisville,27
413,7,Wake Forest,30,@,Virginia Tech,23
414,7,Washington,24,@,Maryland,20
415,7,Western Michigan,21,@,Massachusetts,3
416,8,Liberty,19,@,Texas-El Paso,8
417,8,Missouri State,22,@,Middle Tennessee State,20
418,8,Jacksonville State,29,@,Sam Houston,27
419,8,Kennesaw State,35,,Louisiana Tech,7
420,8,Southern Mississippi,38,@,Georgia Southern,35
421,8,Tulane,26,,East Carolina,19
422,8,Colorado State,49,,Fresno State,21
423,8,(24) South Florida,63,@,North Texas,36
424,8,Washington,38,,Rutgers,19
425,8,(8) Alabama,27,@,(14) Missouri,24
426,8,Appalachian State,41,@,Georgia State,20
427,8,Army,24,,Charlotte,7
428,8,Boise State,41,,New Mexico,25
429,8,Bowling Green,28,,Toledo,23
430,8,(18) Brigham Young,33,@,Arizona,27
431,8,Cincinnati,20,,Central Florida,11
432,8,Clemson,41,@,Boston College,10
433,8,Coastal Carolina,23,,Louisiana-Monroe,8
434,8,Colorado,24,,(22) Iowa State,17
435,8,Eastern Michigan,16,,Northern Illinois,10
436,8,Florida Atlantic,53,,Alabama-Birmingham,33
437,8,(10) Georgia,20,@,Auburn,10
438,8,(13) Georgia Tech,35,,Virginia Tech,20
439,8,Houston,39,@,Oklahoma State,17
440,8,(7) Indiana,30,@,(3) Oregon,20
441,8,Iowa,37,@,Wisconsin,0
442,8,James Madison,24,,Louisiana,14
443,8,Kansas State,41,,Texas Christian,28
444,8,Kent State,42,,Massachusetts,6
445,8,(11) Louisiana State,20,,South Carolina,10
446,8,Marshall,48,,Old Dominion,24
447,8,Miami (OH),20,@,Akron,7
448,8,Minnesota,27,,Purdue,20
449,8,(4) Mississippi,24,,Washington State,21
450,8,Navy,32,@,Temple,31
451,8,Nebraska,34,@,Maryland,31
452,8,Nevada-Las Vegas,51,,Air Force,48
453,8,Northwestern,22,@,Penn State,21
454,8,(16) Notre Dame,36,,North Carolina State,7
455,8,(1) Ohio State,34,@,(17) Illinois,16
456,8,Pittsburgh,34,@,(25) Florida State,31
457,8,San Diego State,44,@,Nevada,10
458,8,Southern California,31,,(15) Michigan,13
459,8,Southern Methodist,34,,Stanford,10
460,8,(12) Tennessee,34,,Arkansas,31
461,8,Texas,23,N,(6) Oklahoma,6
462,8,(5) Texas A&M,34,,Florida,17
